InvoiceID,CustomerID,TariffID,BillingDate,DueDate,PaymentDate,Consumption_kWh,Amount_EUR,Discount_EUR,PaymentStatus,BillType,ComplaintFlag,PaymentChannel,Notes
INV-10001,C011,DUAL-SAVE,2024-10-03,2024-10-29,,392,53.76,0,Pending,Estimated,Yes,Web Banking,
INV-10002,C018,EL-FIX12,2024-12-17,2025-01-16,2025-01-11,5101.4,745.2,0,Paid,Actual,No,Bank Transfer,
INV-10003,C053,DUAL-SAVE,2025-03-15,2025-04-15,2025-04-11,3471.3,417.11,0,Paid,Actual,No,Card,
INV-10004,C041,EL-FIX12,2024-02-04,2024-02-29,2024-02-24,1382.1,186.52,19.38,Paid,Actual,Yes,Card,
INV-10005, C035 ,DUAL-SAVE,2025-02-02,2025-02-24,2025-02-20,1247,154.64,0,Paid,Actual,No,Cash,
INV-10006,C026,GAS-VAR,2025-05-10,2025-06-01,,1207.5,67.99,14.81,Overdue,Actual,No,Bank Transfer,
INV-10007,C054,GAS-VAR,2025-02-15,2025-03-08,2025-03-01,6004.8,399.42,0,Paid,Actual,Yes,Web Banking,
INV-10008,C036,GAS-FIX,2024-10-04,2024-11-04,2024-10-30,2977.8,200.72,14.5,Paid,Estimated,No,Bank Transfer,
INV-10009,C045,GAS-FIX,2024-09-17,2024-10-15,2024-10-09,341.6,28.05,0,Paid,Actual,No,Direct Debit,
INV-10010,C005,DUAL-SAVE,2025-02-15,2025-03-15,2025-04-08,841.6,106.81,0,Late,Actual,No,Cash,
INV-10011,C036,EL-VAR,2025-09-05,2025-10-03,2025-09-30,8175.5,1083.36,0,Paid,Actual,No,Web Banking,
INV-10012,C049,GAS-VAR,2025-08-12,2025-09-05,2025-08-28,466,33.85,0,Paid,Actual,No,Bank Transfer,
INV-10013,C023,EL-GREEN,2025-07-13,2025-08-10,2025-08-12,1661.8,250.87,6.07,Late,Actual,No,Cash,
INV-10014,C001,GAS-VAR,2024-03-12,2024-04-05,2024-05-02,3983.3,265.99,0,Late,Actual,No,Bank Transfer,
INV-10015,C019,GAS-VAR,2024-09-13,2024-10-03,2024-10-10,2033.6,137.32,0,Late,Actual,No,Direct Debit,
INV-10016,C002,EL-GREEN,2025-01-02,2025-01-26,2025-01-22,1989.4,306.4,0,Paid,Actual,No,Direct Debit,
INV-10017,C028,GAS-VAR,2024-06-03,2024-06-29,,225.3,17.97,0,Overdue,Actual,Yes,Direct Debit,
INV-10018,C039,gas-var,2025-12-11,2026-01-06,2026-01-13,9106.5,604.13,0,Late,Actual,No,Card,
INV-10019,C026,DUAL-SAVE,2024-10-18,2024-11-13,2024-12-06,1352.5,152.51,14.58,Late,Actual,No,Card,
INV-10020,C043,GAS-FIX,2025-04-02,2025-04-27,2025-04-24,1261.5,93.37,0,Paid,Estimated,No,Cash,
INV-10021,C031,GAS-FIX,2024-09-24,2024-10-22,2024-10-17,470.8,29.24,7.99,Paid,Estimated,No,Cash,
INV-10022,C008,EL-GREEN,2025-03-04,2025-04-03,2025-05-01,359,60.21,0,Late,Actual,Yes,Card,
INV-10023,C032,GAS-FIX,2024-06-08,2024-06-28,2024-06-25,601,46.47,0,Paid,Actual,No,Card,
INV-10024,C035,GAS-VAR,2025-04-15,2025-05-07,,1327.7,73.33,17.4,Overdue,Actual,No,Bank Transfer,
INV-10025,C022,EL-VAR,2024-06-09,2024-07-09,2024-07-02,1265.1,166.08,5.12,Paid,Actual,No,Bank Transfer,
INV-10026,C011,EL-VAR,2024-01-05,2024-01-30,2024-01-25,326.1,47.24,0,Paid,Actual,No,Direct Debit,
INV-10027,C023,GAS-VAR,2024-05-05,2024-05-27,2024-05-22,1394.4,95.13,0,Paid,Actual,No,Direct Debit,
INV-10028,C028,GAS-FIX,2024-11-25,2024-12-15,2024-12-12,222.8,19.62,0,Paid,Estimated,Yes,Bank Transfer,
INV-10029,C029,EL-FIX12,2024-10-09,2024-11-05,,4148.9,601.1,5.99,Overdue,Actual,No,Cash,
INV-10030,C039,GAS-VAR,2025-05-20,2025-06-16,2025-07-07,3450.1,230.81,0,Late,Actual,No,Direct Debit,
INV-10031,C018,GAS-VAR,2025-05-02,2025-05-26,2025-06-23,4887.7,325.69,0,Late,Actual,No,Web Banking,
INV-10032,C036,DUAL-SAVE,04/11/2025,2025-11-24,2025-11-24,3533.1,424.4,0,Paid,Actual,No,Card,
INV-10033,C027,GAS-FIX,2025-07-03,2025-07-31,2025-07-30,707.4,54.03,0,Paid,Estimated,No,Card,
INV-10034,C013,GAS-VAR,2025-09-19,2025-10-15,2025-10-14,275.2,21.26,0,Paid,Actual,No,Bank Transfer,
INV-10035,C033,EL-GREEN,2025-01-13,2025-02-08,2025-02-02,452.1,74.26,0,Paid,Actual,No,Cash,
INV-10036,C017,EL-VAR,2025-03-10,2025-03-30,2025-03-22,572.6,79.79,0,Paid,Estimated,No,Direct Debit,
INV-10037,C008,DUAL-SAVE,2025-06-14,2025-07-08,2025-07-06,322.6,45.57,0,Paid,Actual,No,Bank Transfer,
INV-10038,C035,DUAL-SAVE,2024-10-07,2024-10-30,2024-10-25,1369.9,169.15,0,Paid,Actual,No,Cash,
INV-10039,C041,GAS-VAR,2025-04-17,2025-05-12,2025-05-10,1419.3,80.79,15.98,Paid,Actual,No,Web Banking,
INV-10040,C025,GAS-VAR,2025-08-10,2025-09-09,2025-09-06,208.8,16.88,0,Paid,Actual,No,Cash,
INV-10041,C025,GAS-FIX,2024-06-14,2024-07-08,,120,12.32,0,Pending,Actual,No,Direct Debit,
INV-10042,C043,DUAL-SAVE,2025-10-23,2025-11-15,2025-11-14,868.6,110,0,Paid,Actual,No,Bank Transfer,
INV-10043,C026,EL-VAR,2025-03-20,2025-04-09,2025-04-03,1378,186.1,0,Paid,Actual,No,Cash,
INV-10044,C050,EL-VAR,2024-01-23,2024-02-17,2024-02-09,638.7,78.51,10,Paid,Estimated,No,Bank Transfer,
INV-10045,C036,EL-VAR,2025-09-04,2025-09-25,2025-10-05,5486.2,728.38,0,Late,Actual,No,Cash,
INV-10046,C006,EL-GREEN,2025-06-02,2025-06-23,2025-06-17,368.1,61.59,0,Paid,Actual,No,Web Banking,
INV-10047,C038,GAS-FIX,2024-07-14,2024-08-13,,288.2,8.05,16.21,Overdue,Estimated,No,Card,
INV-10048,C058,EL-VAR,2024-09-25,2024-10-18,2024-11-10,522.6,73.19,0,Late,Actual,No,Web Banking,
INV-10049,C015,GAS-FIX,2025-08-14,9 Sep 2025,2025-09-09,590.7,45.74,0,Paid,Estimated,No,Bank Transfer,
INV-10050,C036,GAS-VAR,2025-12-15,2026-01-15,2026-01-10,6254,415.86,0,Paid,Actual,No,Card,
INV-10051,C039,DUAL-SAVE,2025-09-07,2025-10-08,,4277.1,512.2,0,Pending,Estimated,No,Card,
INV-10052,C044,EL-FIX12,2024-12-18,2025-01-07,2025-01-15,557.5,86.33,0,Late,Actual,No,Cash,
INV-10053,C021,EL-GREEN,2025-08-17,2025-09-09,2025-09-02,1897.2,292.48,0,Paid,Estimated,No,Card,
INV-10054,C052,EL-FIX12,2024-07-16,2024-08-16,,1287.1,192.13,0,Pending,Actual,No,Card,
INV-10055,C056,GAS-VAR,2025-03-09,2025-04-03,2025-03-30,538.6,38.65,0,Paid,Actual,No,Web Banking,
INV-10056,C036,EL-FIX12,2024-12-09,2025-01-06,2025-01-07,4275.7,625.48,0,Late,Estimated,No,Bank Transfer,
INV-10057,C044,GAS-FIX,2024-05-01,2024-05-26,2024-05-23,699.6,51.16,2.31,Paid,Actual,No,Bank Transfer,
INV-10058,C031,EL-GREEN,2025-11-02,2025-11-28,2025-11-24,931.7,141.35,5.33,Paid,Actual,No,Cash,
INV-10059,C043,GAS-FIX,2024-02-14,2024-03-11,2024-03-15,3762,270.9,0,Late,Actual,No,Direct Debit,
INV-10060,C051,DUAL-SAVE,2025-12-20,2026-01-18,2026-01-10,255.3,37.63,0,Paid,Estimated,No,Card,
INV-10061,C041,EL-GREEN,2024-01-06,2024-01-31,2024-02-28,1043.8,163.61,0,Late,Actual,No,Direct Debit,
INV-10062,C045,DUAL-SAVE,2024-01-22,2024-02-12,2024-02-11,658.8,85.24,0,Paid,Actual,No,Cash,
INV-10063,C051,DUAL-SAVE,2025-02-05,2025-03-02,not paid,331.9,46.67,0,Overdue,Actual,No,Direct Debit,
INV-10064,C012,GAS-FIX,2024-02-23,2024-03-22,2024-03-20,582.4,45.15,0,Paid,Actual,No,Web Banking,
INV-10065,C032,EL-FIX12,2025-03-15,2025-04-13,2025-04-07,1457,208.07,8.7,Paid,Actual,No,Card,
INV-10066,C022,DUAL-SAVE,2024-07-24,2024-08-17,2024-08-12,2291.4,277.89,0,Paid,Actual,No,Bank Transfer,
INV-10067,C051,DUAL-SAVE,2025-07-09,2025-07-30,2025-07-28,221.5,33.64,0,Paid,Actual,No,Web Banking,
INV-10068,C013,EL-FIX12,2025-01-17,2025-02-17,,565.8,77.3,10.23,Overdue,Actual,No,Cash,
INV-10069,C044,EL-VAR,2024-07-12,2024-08-04,2024-08-14,1152.6,156.35,0,Late,Actual,No,Card,
INV-10070,C053,EL-FIX12,2024-10-20,2024-11-15,,3109.4,456.36,0,Overdue,Actual,No,Card,
